Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
053080,케이엔솔,KOSDAQ,우량기업부,11700,1,560,5.03,11140,11810,11120,85051,981946160,152097741900,12999807,KSQ,일반 목적용 기계 제조업,클린룸 설비,2020-09-24,12월,"구자겸, 정우현 (각자 대표이사)",http://www.k-ensol.com,충청북도
001020,페이퍼코리아,KOSPI,,852,1,22,2.65,830,857,828,27131,23050031,151641782676,177983313,STK,"펄프, 종이 및 판지 제조업","제지(신문용지,중질지),합판 제조,건설,석유류 판매",1976-06-26,12월,권육상,http://www.papercorea.co.kr,전북특별자치도
078940,퀀타피아,KOSDAQ,관리종목(소속부없음),2855,0,0,0.0,0,0,0,0,0,151584163690,53094278,KSQ,생활용품 도매업,전기공사업,2004-08-27,12월,정철,http://codenature.com,서울특별시
462350,이노스페이스,KOSDAQ,기술성장기업부,16150,1,320,2.02,15830,16540,15830,86295,1402856510,151417458100,9375694,KSQ,"항공기,우주선 및 부품 제조업","소형발사체, 로켓추진기관, 과학로켓, 시험평가용역",2024-07-02,12월,김수종,http://www.innospc.com/,세종특별자치시
030210,다올투자증권,KOSPI,,2485,1,85,3.54,2420,2495,2400,35225,86119115,151364098410,60911106,STK,금융 지원 서비스업,"금융업, 서비스, 부동산",1996-11-19,12월,"이병철, 황준호 (각자 대표이사)",http://www.daolsecurities.com,서울특별시
003650,미창석유,KOSPI,,87000,3,0,0.0,87000,89800,86700,1404,123748200,151351464000,1739672,STK,석유 정제품 제조업,"윤활유,고무배합유,전기절연유 제조,판매,수출입",1989-09-27,12월,유재순,http://www.michang.co.kr,부산광역시
089970,브이엠,KOSDAQ,우량기업부,6280,1,730,13.15,5510,6320,5510,75912,457599110,151194736600,24075595,KSQ,특수 목적용 기계 제조업,300mm Poly Etch System,2018-08-23,12월,"최우형, 임종필 (각자 대표이사)",http://www.vmsemi.com,경기도
448280,에코아이,KOSDAQ,중견기업부,15300,1,930,6.47,14390,15380,14390,14436,216369680,151118757900,9877043,KSQ,기타 전문 서비스업,탄소배출권 및 탄소배출권 관련 컨설팅,2023-11-21,12월,이수복,http://www.ecoeye.com,서울특별시
068290,삼성출판사,KOSPI,,15080,1,1260,9.12,14180,15400,14010,165558,2480444070,150800000000,10000000,STK,"서적, 잡지 및 기타 인쇄물 출판업","서적 출판,인쇄,소매/부동산 임대",2002-08-05,12월,김진용,http://www.samsungbooks.com,서울특별시
064800,포니링크,KOSDAQ,중견기업부,1176,1,51,4.53,1125,1219,1125,718280,844177956,150301382448,127807298,KSQ,"섬유, 의복, 신발 및 가죽제품 소매업",의류제품,2002-08-22,12월,"황정일, 남경필",http://www.gemvaxlink.com,서울특별시
